City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Busselton,AU,66.99,overcast clouds,-33.65,115.3333,Observatory Guest House
6,Grand Gaube,MU,79.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
7,Cape Town,ZA,72.0,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
15,Antalaha,MG,76.44,light rain,-14.9003,50.2788,Hotel Vitasoa
16,Bredasdorp,ZA,69.8,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
20,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
21,Rikitea,PF,77.94,overcast clouds,-23.1203,-134.9692,Pension Maro'i
23,Mae Sot,TH,63.77,scattered clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
24,Dicabisagan,PH,69.62,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
27,Kahului,US,71.6,broken clouds,20.8947,-156.47,Maui Seaside Hotel
30,Saldanha,ZA,68.0,clear sky,-33.0117,17.9442,Blue Bay Lodge
33,Mocuba,MZ,77.2,overcast clouds,-16.8392,36.9856,Phama Lodge
37,Saint-Pierre,RE,78.8,broken clouds,-21.3393,55.4781,Lindsey Hôtel
39,Hermanus,ZA,66.0,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
40,Yarada,IN,69.8,mist,17.65,83.2667,"D-26/2, Dolphin Hill,"
48,Lebu,CL,60.49,clear sky,-37.6167,-73.65,Hostal Las Lilas
49,Sao Filipe,CV,73.4,clear sky,14.8961,-24.4956,Tortuga B&B
57,Hobyo,SO,75.83,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
65,Kano,NG,78.8,clear sky,12.0001,8.5167,Royal Tropicana Hotel
66,Port Elizabeth,ZA,71.6,light rain,-33.918,25.5701,39 On Nile Guest House
70,Vangaindrano,MG,75.34,light rain,-23.35,47.6,Hotel Fanilo
72,Port Moresby,PG,77.0,moderate rain,-9.4431,147.1797,Lamana Hotel
80,Tuy Hoa,VN,70.25,light rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
85,Ushuaia,AR,60.8,light rain,-54.8,-68.3,Albatros Hotel
88,Victor Harbor,AU,71.01,scattered clouds,-35.5667,138.6167,McCracken Country Club
94,Bambous Virieux,MU,79.0,light rain,-20.3428,57.7575,Casa Tia Villa
97,Santa Rosa,PH,77.0,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
99,Castro,BR,74.95,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
100,Atuona,PF,78.08,overcast clouds,-9.8,-139.0333,Villa Enata
102,Tessalit,ML,77.7,clear sky,20.1986,1.0114,
105,Kapaa,US,68.0,overcast clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
106,Carrascal,PH,77.5,overcast clouds,9.3703,125.9492,LGU Dormitory
110,Avarua,CK,78.8,few clouds,-21.2078,-159.775,Paradise Inn
117,Brownsville,US,64.4,light rain,25.9018,-97.4975,Hotel Alameda Express
118,Baculin,PH,77.95,light rain,7.4525,126.5842,Shovy's Cove
119,Tura,IN,61.79,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
121,Kapit,MY,74.32,light rain,2.0167,112.9333,Hotel Meligai Kapit
124,Dawei,MM,69.33,clear sky,14.0833,98.2,Hotel Dawei
130,Dingle,PH,74.28,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
133,Manggar,ID,79.29,overcast clouds,-2.8833,108.2667,Guest Hotel
134,Sola,VU,75.2,light rain,-13.8833,167.55,Leumerus Bungalows
136,Kanker,IN,66.13,clear sky,20.2719,81.4931,STARiHOTEL Kanker
