,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Leningradskiy,RU,69.3833,178.4167,-21.28,84,97,8.86,overcast clouds
1,Grand Gaube,MU,-20.0064,57.6608,78.01,85,1,13.78,light rain
2,Maputo,MZ,-25.9653,32.5892,81.0,69,40,9.22,scattered clouds
3,Bethel,US,41.3712,-73.414,36.0,48,1,6.91,clear sky
4,Marienburg,PL,54.0359,19.0266,33.01,100,100,8.84,overcast clouds
5,Yar-Sale,RU,66.8333,70.8333,-17.14,85,31,3.98,scattered clouds
6,Meridian,US,43.6121,-116.3915,39.0,100,1,10.36,clear sky
7,Cape Town,ZA,-33.9258,18.4232,66.2,63,20,23.02,few clouds
8,Kapaa,US,22.0752,-159.319,77.0,83,75,8.05,light rain
9,Atuona,PF,-9.8,-139.0333,77.79,80,100,17.18,overcast clouds
10,Jamestown,US,42.097,-79.2353,36.0,64,1,5.75,clear sky
11,Vaini,TO,-21.2,-175.2,82.4,83,75,10.36,broken clouds
12,Butaritari,KI,3.0707,172.7902,81.7,80,61,16.91,broken clouds
13,Severo-Kurilsk,RU,50.6789,156.125,19.04,91,86,20.74,overcast clouds
14,Port-Gentil,GA,-0.7193,8.7815,80.6,94,20,6.91,few clouds
15,New Norfolk,AU,-42.7826,147.0587,64.0,87,80,3.31,broken clouds
16,Nehe,CN,48.4833,124.8333,-4.67,86,97,3.87,snow
17,Ushuaia,AR,-54.8,-68.3,48.2,76,75,23.02,light rain
18,Port Alfred,ZA,-33.5906,26.891,68.0,81,98,1.01,overcast clouds
19,Punta Arenas,CL,-53.15,-70.9167,46.4,87,90,11.5,light rain
20,Barcelona,ES,41.3888,2.159,44.01,81,75,8.05,broken clouds
21,Rikitea,PF,-23.1203,-134.9692,78.19,77,70,14.36,broken clouds
22,Thompson,CA,55.7435,-97.8558,17.6,93,40,10.36,scattered clouds
23,Taltal,CL,-25.4,-70.4833,68.23,65,50,8.61,scattered clouds
24,Vallenar,CL,-28.5708,-70.7581,84.36,21,0,10.27,clear sky
