City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mataura,NZ,55.99,broken clouds,-46.1927,168.8643,Ellie's Villa
2,Hermanus,ZA,66.0,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
3,Port Lincoln,AU,77.95,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
5,Lompoc,US,64.99,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
6,Atuona,PF,77.94,overcast clouds,-9.8,-139.0333,Villa Enata
7,Port Alfred,ZA,68.0,overcast clouds,-33.5906,26.891,The Halyards Hotel
8,Cape Town,ZA,69.01,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
12,Port Elizabeth,ZA,66.2,overcast clouds,-33.918,25.5701,39 On Nile Guest House
16,Busselton,AU,55.99,clear sky,-33.65,115.3333,Observatory Guest House
17,Agadez,NE,70.07,clear sky,19.75,10.25,
18,East London,ZA,69.64,light rain,-33.0153,27.9116,Tu Casa
19,Puerto Ayora,EC,84.2,clear sky,-0.7393,-90.3518,Castillo Galapagos
20,Rikitea,PF,78.01,broken clouds,-23.1203,-134.9692,Pension Maro'i
22,Praia Da Vitoria,PT,60.01,light rain,38.7333,-27.0667,Hotel Branco I
23,Dingle,PH,74.1,light rain,10.9995,122.6711,SEGAYA PROPERTY
24,Ponta Do Sol,PT,54.0,scattered clouds,32.6667,-17.1,Hotel do Campo
26,Lebu,CL,60.17,light rain,-37.6167,-73.65,Hostal Las Lilas
27,Kaitangata,NZ,57.99,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
31,Mar Del Plata,AR,77.0,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
32,Kigoma,TZ,71.6,few clouds,-4.8769,29.6267,Kigoma Hilltop Hotel
33,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
36,Castro,BR,75.74,few clouds,-24.7911,-50.0119,CHACARA BAILLY
37,Touros,BR,82.4,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
45,Road Town,VG,80.6,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
46,Ahipara,NZ,65.73,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
50,Vaini,TO,80.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
52,Saldanha,ZA,64.4,clear sky,-33.0117,17.9442,Blue Bay Lodge
53,Bulancak,TR,50.0,mist,40.9372,38.2291,Ada Loft Aparts
57,Bredasdorp,ZA,66.2,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
58,Hilo,US,78.8,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
61,Avarua,CK,82.4,light rain,-21.2078,-159.775,Paradise Inn
63,Kruisfontein,ZA,64.0,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
65,Manaquiri,BR,78.8,broken clouds,-3.3167,-60.35,
69,Namatanai,PG,78.08,light rain,-3.6667,152.4333,Namatanai Hotel
72,Brownsville,US,59.0,overcast clouds,25.9018,-97.4975,Hotel Alameda Express
73,Banjar,ID,78.8,scattered clouds,-8.19,114.9675,The Hamsa Resort
74,Magole,TZ,73.4,broken clouds,-6.3667,37.3667,Juma lubelwa
77,Codrington,AU,72.57,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
81,Usevya,TZ,66.83,overcast clouds,-7.1,31.2333,
82,Samarai,PG,82.67,light rain,-10.6167,150.6667,Nuli Sapi
84,Hirara,JP,62.71,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
85,Bluff,NZ,55.99,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
86,Chuy,UY,79.79,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
89,Lorengau,PG,81.14,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
90,Crotone,IT,55.4,fog,39.0851,17.1178,Helios Hotel
91,Hervey Bay,AU,73.0,broken clouds,-25.2986,152.8535,Shelly Bay Resort
93,The Valley,AI,84.2,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
97,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
99,Kaeo,NZ,64.99,clear sky,-35.1,173.7833,Bushido Lodge
101,Flinders,AU,64.99,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
102,Hobart,AU,60.8,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
103,Quelimane,MZ,82.0,light rain,-17.8786,36.8883,Hotel Flamingo
104,Kahului,US,80.6,few clouds,20.8947,-156.47,Maui Seaside Hotel
105,Carutapera,BR,82.13,overcast clouds,-1.195,-46.02,Lidera
107,Ponta Delgada,PT,55.4,broken clouds,37.7333,-25.6667,Vila Nova Hotel
108,Doha,QA,64.4,clear sky,25.2867,51.5333,Doha Marriott Hotel
109,Pacifica,US,57.99,broken clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
112,Carnarvon,AU,75.2,clear sky,-24.8667,113.6333,Hospitality Carnarvon
114,Ribeira Grande,PT,60.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
116,Naze,JP,50.68,few clouds,28.3667,129.4833,奄美ポートタワーホテル
118,San Policarpo,PH,79.81,overcast clouds,12.1791,125.5072,JM Lodge
120,Abomsa,ET,63.45,few clouds,9.9833,39.9833,
121,Corrente,BR,81.12,overcast clouds,-3.7367,-43.3394,Chapadinhense Hotel
122,Airai,TL,62.02,broken clouds,-8.9266,125.4092,Juvinal Martin
124,Alofi,NU,80.6,light rain,-19.0595,-169.9187,Taloa Heights
128,Morro Bay,US,60.01,scattered clouds,35.3658,-120.8499,Inn at Morro Bay
129,Chake Chake,TZ,77.56,overcast clouds,-5.2459,39.7666,Hotel Archipelago
131,Cabedelo,BR,82.4,few clouds,-6.9811,-34.8339,Lua Mansa Pousada
136,Kapaa,US,77.0,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
137,Mocuba,MZ,77.4,overcast clouds,-16.8392,36.9856,Phama Lodge
138,Tura,IN,64.18,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
141,Byron Bay,AU,66.2,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
145,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
148,Georgetown,MY,77.0,light rain,5.4112,100.3354,Cititel Penang
149,West Bay,KY,80.6,few clouds,19.3667,-81.4167,Calypso Cove
151,Butaritari,KI,81.52,broken clouds,3.0707,172.7902,Isles Sunset Lodge
152,Santa Vitoria Do Palmar,BR,80.53,clear sky,-33.5189,-53.3681,Hostel Comodoro
153,Malanje,AO,62.37,broken clouds,-9.5402,16.340999999999998,Malanje Hotel
155,Hithadhoo,MV,80.98,overcast clouds,-0.6,73.0833,Scoop Guest House
156,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
157,Buala,SB,82.54,light rain,-8.145,159.5921,Maringe Lagoon Lodge
160,Kavieng,PG,81.91,moderate rain,-2.5744,150.7967,Nusa Island Retreat
161,Trincomalee,LK,76.8,moderate rain,8.5711,81.2335,Welcombe Hotel
166,Fortuna,US,55.99,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
168,Pisco,PE,77.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
169,Dwarka,IN,68.11,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
171,Yulara,AU,75.2,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
172,Yara,CU,79.18,scattered clouds,20.2753,-76.9533,Casa de Margarita Puebla Lorente
174,Saint-Joseph,RE,78.8,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
177,Laguna,US,55.0,mist,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
179,Acari,PE,80.04,heavy intensity rain,-15.4311,-74.6158,HOSPEDAJE XIMENA
180,Butembo,CD,58.01,overcast clouds,0.15,29.2833,Hotel Butembo
183,Anito,PH,77.36,overcast clouds,12.4497,125.2886,The Yellow House
186,Bartica,GY,84.2,few clouds,6.4,-58.6167,Relax Inn Hotel
189,New Norfolk,AU,60.01,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
191,Willowmore,ZA,61.05,broken clouds,-33.2926,23.4895,Jumper's Place
193,Victoria,HK,55.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
194,Raga,SS,68.18,broken clouds,8.4596,25.678,
