City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Isernia,41.6002,14.2382,43.0,93,100,4.94,IT,2021-01-07 18:29:20
1,Ilulissat,69.2167,-51.1,12.2,79,90,19.57,GL,2021-01-07 18:32:37
2,Te Anau,-45.4167,167.7167,48.45,90,62,3.89,NZ,2021-01-07 18:30:46
3,Atuona,-9.8,-139.0333,77.34,72,5,15.52,PF,2021-01-07 18:28:50
4,Mahebourg,-20.4081,57.7,78.8,73,75,11.5,MU,2021-01-07 18:30:17
5,Bilibino,68.0546,166.4372,-14.98,86,100,2.01,RU,2021-01-07 18:32:37
6,Mataura,-46.1927,168.8643,52.0,80,31,1.99,NZ,2021-01-07 18:32:38
7,Totness,5.8833,-56.3167,81.68,78,73,12.68,SR,2021-01-07 18:32:38
8,Bambous Virieux,-20.3428,57.7575,78.8,73,75,11.5,MU,2021-01-07 18:32:38
9,Albany,42.6001,-73.9662,33.01,69,31,1.99,US,2021-01-07 18:29:39
10,Rikitea,-23.1203,-134.9692,77.63,73,100,8.81,PF,2021-01-07 18:32:39
11,Kapaa,22.0752,-159.319,73.4,78,20,16.11,US,2021-01-07 18:32:39
12,Lazaro Cardenas,17.9583,-102.2,83.14,55,10,6.6,MX,2021-01-07 18:32:39
13,Tabou,4.423,-7.3528,79.16,85,68,7.9,CI,2021-01-07 18:32:40
14,Torbay,47.6666,-52.7314,43.0,100,90,29.93,CA,2021-01-07 18:32:40
15,Busselton,-33.65,115.3333,77.0,41,100,5.01,AU,2021-01-07 18:32:40
16,Toamasina,-18.1667,49.3833,78.8,83,20,3.44,MG,2021-01-07 18:31:06
17,Punta Arenas,-53.15,-70.9167,59.0,55,0,26.46,CL,2021-01-07 18:32:21
18,Margate,51.3813,1.3862,36.0,74,99,5.99,GB,2021-01-07 18:30:15
19,Port Alfred,-33.5906,26.891,69.01,90,0,8.01,ZA,2021-01-07 18:28:43
20,Hithadhoo,-0.6,73.0833,82.45,80,100,19.3,MV,2021-01-07 18:32:41
21,Vaini,-21.2,-175.2,77.0,100,75,5.75,TO,2021-01-07 18:28:39
22,New Norfolk,-42.7826,147.0587,53.01,87,9,2.08,AU,2021-01-07 18:32:42
23,Eureka,40.8021,-124.1637,46.99,81,1,3.44,US,2021-01-07 18:32:42
24,Qaanaaq,77.484,-69.3632,-18.24,69,0,8.59,GL,2021-01-07 18:32:42
25,Bethel,41.3712,-73.414,35.6,51,1,14.97,US,2021-01-07 18:30:37
26,Maridi,4.9158,29.4742,79.21,27,1,2.17,SS,2021-01-07 18:32:43
27,Puerto Ayora,-0.7393,-90.3518,82.4,57,40,14.97,EC,2021-01-07 18:32:43
28,Nikolskoye,59.7035,30.7861,24.8,93,75,6.71,RU,2021-01-07 18:29:01
29,Nichinan,31.6,131.3667,28.0,58,100,18.01,JP,2021-01-07 18:32:43
30,Baruun-Urt,46.6806,113.2792,-17.54,82,0,9.22,MN,2021-01-07 18:32:43
31,Lagoa,39.05,-27.9833,56.93,68,51,22.37,PT,2021-01-07 18:28:45
32,Coihaique,-45.5752,-72.0662,60.8,44,40,9.22,CL,2021-01-07 18:32:44
33,Whitehorse,60.7161,-135.0538,24.8,80,90,18.41,CA,2021-01-07 18:29:45
34,Kahului,20.8947,-156.47,73.4,68,40,16.11,US,2021-01-07 18:32:44
35,East London,-33.0153,27.9116,71.6,78,0,16.11,ZA,2021-01-07 18:32:45
36,Brae,60.3964,-1.353,32.0,100,75,20.71,GB,2021-01-07 18:30:20
37,Cabo San Lucas,22.8909,-109.9124,80.6,53,20,6.91,MX,2021-01-07 18:28:46
38,Zinder,13.8072,8.9881,89.6,13,0,4.61,NE,2021-01-07 18:32:46
39,Ucluelet,48.9329,-125.5528,45.0,93,90,9.22,CA,2021-01-07 18:32:46
40,Yafran,32.0633,12.5286,60.93,33,100,14.14,LY,2021-01-07 18:32:46
41,Nemuro,43.3236,145.575,28.67,97,100,35.7,JP,2021-01-07 18:32:46
42,Naze,28.3667,129.4833,47.48,82,100,16.49,JP,2021-01-07 18:32:46
43,Kavieng,-2.5744,150.7967,82.26,76,100,9.13,PG,2021-01-07 18:32:47
44,Lebu,-37.6167,-73.65,61.03,67,0,20.65,CL,2021-01-07 18:32:47
45,Talnakh,69.4865,88.3972,-9.33,89,100,13.8,RU,2021-01-07 18:32:47
46,Kuching,1.55,110.3333,75.2,100,40,4.61,MY,2021-01-07 18:32:47
47,Bathsheba,13.2167,-59.5167,84.2,65,20,20.71,BB,2021-01-07 18:32:48
48,Khatanga,71.9667,102.5,-2.04,92,100,17.13,RU,2021-01-07 18:32:48
